dates,raw,clipped,difference,ratio
Oct14,1052480,1045949,6531,0.006205343569474004
Oct15,1827905,1817669,10236,0.005599853384065365
Oct16,1064040,1055281,8759,0.008231833389722191
Oct17,592182,586700,5482,0.0092572891442158
Oct18,372823,368185,4638,0.012440219621643515
Oct19,440276,434110,6166,0.014004851502239504
Oct20,526760,521291,5469,0.010382337307312629
Oct21,1033173,1028071,5102,0.004938185570083616
Oct22,1447025,1438418,8607,0.0059480658592629704
Oct23,985919,978269,7650,0.007759258113496139
Oct24,375916,371837,4079,0.010850828376552208
Oct25,433269,428367,4902,0.011313987384280896
Oct26,460529,455358,5171,0.011228391697374107
Oct27,493425,487895,5530,0.011207377007650605
Oct28,889844,882794,7050,0.007922737019073006
Oct29,2449533,2443160,6373,0.0026017204095637823
Oct30,1426336,1419427,6909,0.004843879702959191
